typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251200","Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","-1","N/A",,"false","10","false",,"false",,"10","10","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251200","Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1459780","false","-1","N/A",,"false","1459780","false",,"false",,"1027922","1027922","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251200","Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28040.5","false","8","kg","28040.5","false","28040.5","false","0","false","0","50266.859","50266.859","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251200","Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20190","false","-1","N/A",,"false","20190","false",,"false",,"4600","4600","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251310","Pumice stone, whether or not heat treated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","950","false","-1","N/A",,"false","950","false",,"false",,"1741","1741","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251310","Pumice stone, whether or not heat treated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3234","false","8","kg","3234","false","3234","false","0","false","0","4694.662","4694.662","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","251320","Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","12140","false","8","kg","12140","false","12140","false","0","false",,"8188.414","8188.414","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","252010","Gypsum; anhydrite","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","209272","false","8","kg","209272","false","209272","false","0","false","0","348434.092","348434.092","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","252010","Gypsum; anhydrite","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38117","false","-1","N/A",,"false","38117","false",,"false",,"41700","41700","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","252510","Mica; crude and rifted into sheets or splittings","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","88320","false","8","kg","88320","false","88320","false","0","false","0","56541.478","56541.478","0","true","false",
